species,property,aac_spearman,dc_c0_spearman,c1_spearman,dc_minus_aac,dc_minus_c1
e_coli,charge_density,0.9982703915656542,0.9572956652106804,0.8809374816308106,-0.04097472635497379,0.07635818357986979
e_coli,charge_density,0.9982703915656542,0.9572956652106804,0.9031769157383585,-0.04097472635497379,0.05411874947232198
e_coli,charge_density,0.9982703915656542,0.9572956652106804,0.910106565248195,-0.04097472635497379,0.04718909996248544
e_coli,charge_density,0.9982703915656542,0.9572956652106804,0.8644888308305216,-0.04097472635497379,0.0928068343801588
e_coli,charge_density,0.9982703915656542,0.9572956652106804,0.8917511310528523,-0.04097472635497379,0.06554453415782813
e_coli,charge_density,0.9982703915656542,0.9572956652106804,0.9127590033433748,-0.04097472635497379,0.04453666186730565
e_coli,charge_density,0.9982703915656542,0.9572956652106804,0.8640469675471992,-0.04097472635497379,0.0932486976634812
e_coli,charge_density,0.9982703915656542,0.9572956652106804,0.9003847772651662,-0.04097472635497379,0.056910887945514244
e_coli,charge_density,0.9982703915656542,0.9572956652106804,0.8517325337489426,-0.04097472635497379,0.10556313146173779
e_coli,charge_density,0.9982703915656542,0.9572956652106804,0.863886133531395,-0.04097472635497379,0.09340953167928545
e_coli,charge_density,0.9982703915656542,0.9626716592381978,0.8809374816308106,-0.03559873232745647,0.0817341776073871
e_coli,charge_density,0.9982703915656542,0.9626716592381978,0.9031769157383585,-0.03559873232745647,0.0594947434998393
e_coli,charge_density,0.9982703915656542,0.9626716592381978,0.910106565248195,-0.03559873232745647,0.052565093990002754
e_coli,charge_density,0.9982703915656542,0.9626716592381978,0.8644888308305216,-0.03559873232745647,0.09818282840767611
e_coli,charge_density,0.9982703915656542,0.9626716592381978,0.8917511310528523,-0.03559873232745647,0.07092052818534544
e_coli,charge_density,0.9982703915656542,0.9626716592381978,0.9127590033433748,-0.03559873232745647,0.049912655894822966
e_coli,charge_density,0.9982703915656542,0.9626716592381978,0.8640469675471992,-0.03559873232745647,0.09862469169099852
e_coli,charge_density,0.9982703915656542,0.9626716592381978,0.9003847772651662,-0.03559873232745647,0.06228688197303156
e_coli,charge_density,0.9982703915656542,0.9626716592381978,0.8517325337489426,-0.03559873232745647,0.11093912548925511
