species,seed,property,coefficient,spearman,r2,mae,spearman_ci_lo,spearman_ci_hi
e_coli,0,net_charge,0,0.9331545125428854,0.9143408945154796,0.4600178277984314,0.918766649930265,0.9447537375483841
e_coli,0,net_charge,1,0.8872798147813764,0.8113562858925474,0.6860245595420443,0.8666298304928136,0.9039238736786159
e_coli,0,net_charge,2,0.8422105830258019,0.7676413599009879,0.7693331744668256,0.8132831558213149,0.8663177502424809
e_coli,0,net_charge,3,0.7722097695058774,0.6469370526642493,0.9501795957463322,0.7351869236814333,0.8029874095157908
e_coli,0,charge_density,0,0.9572956652106805,0.9197888850264081,0.02931104041560521,0.9489723269140523,0.9637388309223309
e_coli,0,charge_density,1,0.8809374816308106,0.7732565630550877,0.049318309967308106,0.8596676856273533,0.8989646795352387
e_coli,0,charge_density,2,0.8397895301119106,0.7296635042692784,0.05488061925612128,0.81066797547253,0.8670617822120621
e_coli,0,charge_density,3,0.7818073221791777,0.6260962482626392,0.0644057767486821,0.7494006485767282,0.8142479261733505
e_coli,0,pI,0,0.8330017173129067,0.6500829823310559,0.5574481079845621,0.8027308655505154,0.857874931220564
e_coli,0,pI,1,0.7630919337399533,0.47057055339289533,0.7007902671503011,0.7272644704615226,0.7919634585375268
e_coli,0,pI,2,0.7007971815642845,0.4050536582907064,0.7186223546490396,0.6561004706473657,0.7414001902617485
e_coli,0,pI,3,0.6506538225210715,0.370418377608973,0.7331081148838889,0.5978801971293868,0.6973634413700581
e_coli,0,mean_hydrophobicity,0,0.9639644918493759,0.9386900422935094,0.18080842490186672,0.9563564109760718,0.9690475745809609
e_coli,0,mean_hydrophobicity,1,0.8608450726125175,0.7803227247750604,0.341212407228385,0.834475663365574,0.8828446007712051
e_coli,0,mean_hydrophobicity,2,0.8494708506029672,0.7750237716434482,0.34302314706641057,0.8208343384526668,0.8721745850618916
e_coli,0,mean_hydrophobicity,3,0.7601053603228924,0.6084684665080373,0.4599065709136358,0.7194837314807204,0.7937035928567301
e_coli,0,hydrophilic_fraction,0,0.9407594936236815,0.8910091494674678,0.030821092197120776,0.929329166412985,0.94887943612781
e_coli,0,hydrophilic_fraction,1,0.8332103399495582,0.7134096779589252,0.04878796447849138,0.8006022373545473,0.8587008399497144
e_coli,0,hydrophilic_fraction,2,0.810938122127214,0.6649966736216639,0.05384879490629591,0.7841415348051762,0.8335415568558514
e_coli,0,hydrophilic_fraction,3,0.7391368863683565,0.5460822651979352,0.06364798492316445,0.7024676644726888,0.7748509908994987
e_coli,0,helix_propensity,0,0.9186350584284964,0.880776072245443,0.04117191788140746,0.9014978897146839,0.9303528189385698
e_coli,0,helix_propensity,1,0.7634989762332793,0.6170185360413908,0.07440129995800351,0.7295971271107838,0.7943717137221448
e_coli,0,helix_propensity,2,0.7421491018243338,0.5607353897323172,0.07744330153188857,0.7025396882521232,0.7738511768076373
e_coli,0,helix_propensity,3,0.6443618531736537,0.4483501563074057,0.08641042840586813,0.5947249314800284,0.6878350766762866
e_coli,0,hydrophobic_moment,0,0.7904980711351292,0.6255371712957772,0.23951561113085165,0.7572280680793074,0.8205670415620109
e_coli,0,hydrophobic_moment,1,0.7112824970934222,0.5466220445917898,0.26547279057420986,0.6670955331890297,0.7508978039571516
e_coli,0,hydrophobic_moment,2,0.6707988642483024,0.43612989235824307,0.2989692077916466,0.6284969789680664,0.7125768906438733
e_coli,0,hydrophobic_moment,3,0.657297966687216,0.4155002953727567,0.30190266088386913,0.6112357716833361,0.7013378140899912
e_coli,1,net_charge,0,0.9464485714030032,0.9051313796912549,0.46384599778075025,0.9349884094254651,0.9554239528224916
e_coli,1,net_charge,1,0.895310349002696,0.8353955120812191,0.6230683224031092,0.8759382259851682,0.9122048308673328
e_coli,1,net_charge,2,0.8552889165299558,0.7615680563511307,0.744414942894641,0.827855990672375,0.8762141308966204
e_coli,1,net_charge,3,0.8210437429297575,0.6847706582219675,0.8341016088508778,0.7909033534856817,0.8469302081336554
e_coli,1,charge_density,0,0.9626716592381978,0.9364297784617652,0.02614946188920719,0.9543083996694577,0.9686761441392575
e_coli,1,charge_density,1,0.9031769157383585,0.8415831186577236,0.041409415617469574,0.8847777182043092,0.9183995071926214
e_coli,1,charge_density,2,0.832123330761662,0.7304060847421927,0.05488747313834735,0.8019768607816752,0.8565100093694167
e_coli,1,charge_density,3,0.8224114989057191,0.690707116799538,0.05600950395240735,0.7926861218104317,0.849763540493546
e_coli,1,pI,0,0.8550083035585962,0.7165962552051651,0.5015831700232004,0.8275677546031386,0.8793684135142142
e_coli,1,pI,1,0.7215546494392722,0.5403809241533432,0.6633395192230978,0.6770415776052502,0.7613994881299317
e_coli,1,pI,2,0.7192702218965424,0.5021465064109496,0.6846713375663477,0.6753038816843233,0.7589621725123359
e_coli,1,pI,3,0.7089191398710789,0.4598228325694196,0.7054864111599092,0.6669695414301473,0.7469505020968759
e_coli,1,mean_hydrophobicity,0,0.9628294308506485,0.9453072846015539,0.1722508941544927,0.9549524747659744,0.9687789845549996
e_coli,1,mean_hydrophobicity,1,0.9133696645753957,0.8608522025442769,0.28016758079923754,0.897037725021752,0.9263179451918296
e_coli,1,mean_hydrophobicity,2,0.8662170852510603,0.7959423931419265,0.33162355156366025,0.8407548304734215,0.8874891294981435
e_coli,1,mean_hydrophobicity,3,0.805833446328425,0.6634163451412258,0.43306021533255856,0.7732118286528362,0.8338590817927383
e_coli,1,hydrophilic_fraction,0,0.9420507826567915,0.9032918915585021,0.029664803646727148,0.9314936866727911,0.9502531596768131
e_coli,1,hydrophilic_fraction,1,0.891880600760417,0.8022356258249185,0.041578074483685,0.8742038902199254,0.90677765841155
e_coli,1,hydrophilic_fraction,2,0.8786283811906201,0.7641626362503857,0.044604946654689975,0.8559968721659136,0.8970014210367101
e_coli,1,hydrophilic_fraction,3,0.807609253651115,0.6461303189729581,0.054438262754523806,0.7762890296455083,0.8334604092952561
e_coli,1,helix_propensity,0,0.9431241427497419,0.9061294589564589,0.034954802658520405,0.9315909390160515,0.9519065002217597
e_coli,1,helix_propensity,1,0.7967609912791428,0.6720152852700474,0.06756385651460094,0.764643138917303,0.826018904499513
e_coli,1,helix_propensity,2,0.7627728984563388,0.621008677646347,0.07122486572039922,0.719748061170179,0.7973827697303048
e_coli,1,helix_propensity,3,0.7055594431888599,0.5027870802144285,0.08357917701375492,0.6638279537457257,0.7407993034564634
e_coli,1,hydrophobic_moment,0,0.8685720904051437,0.7790087451991113,0.18229925564506028,0.8435827421095246,0.8891311426749097
e_coli,1,hydrophobic_moment,1,0.7822505460874948,0.6164210940459418,0.25210439624342673,0.7496282825665032,0.8103648016230931
e_coli,1,hydrophobic_moment,2,0.7428183200020104,0.5837570737790174,0.26424854320101737,0.7042323803987275,0.7778200856384963
e_coli,1,hydrophobic_moment,3,0.5658036193078242,0.3900411522524668,0.3129130108137333,0.507596295546907,0.6229985696420689
e_coli,2,net_charge,0,0.9451126702414895,0.9219529655591743,0.4432853076296022,0.934695597882447,0.9530314726803779
e_coli,2,net_charge,1,0.9110006238672274,0.8372365270256663,0.6193743898850962,0.894420305529183,0.9246817348153374
e_coli,2,net_charge,2,0.8749349956280824,0.7840405852108316,0.715206703019552,0.8541436344760429,0.8929688570933505
e_coli,2,net_charge,3,0.834266109353321,0.751507592052862,0.7830339748394388,0.806379378478446,0.8579533090497521
e_coli,2,charge_density,0,0.9704598859155907,0.9419151144874304,0.02545386032069721,0.964957264038661,0.9744275644660526
e_coli,2,charge_density,1,0.910106565248195,0.8450484172813687,0.04025124086384891,0.89173843168268,0.9261342490455714
e_coli,2,charge_density,2,0.8678951031949206,0.7843441492789469,0.04778062040521479,0.8424768449483794,0.8898942714493989
e_coli,2,charge_density,3,0.8406188495900199,0.7042442932326527,0.05646424854994262,0.8155350338563668,0.8633614064445292
e_coli,2,pI,0,0.8635270463339128,0.7306030878279388,0.5105493920338727,0.8366098608465209,0.8875700980035982
e_coli,2,pI,1,0.8355665903241494,0.6325174336086534,0.5854642718119389,0.8069639272267827,0.8601157825478974
e_coli,2,pI,2,0.8097391276309359,0.5590439578710723,0.6090092053753493,0.7786686801967164,0.8397530045406774
e_coli,2,pI,3,0.706260350843674,0.4560722409676129,0.6782622367881095,0.6600304190512971,0.7496300527482596
e_coli,2,mean_hydrophobicity,0,0.9626230477123708,0.9415480368962001,0.1782010594829783,0.9561710804078181,0.9681713957161702
e_coli,2,mean_hydrophobicity,1,0.8807721945498925,0.8224545387858753,0.30916796879538494,0.8574347770319882,0.8999675287141561
e_coli,2,mean_hydrophobicity,2,0.843389459536569,0.7404972201117095,0.3754774266814214,0.8172549322765983,0.86462263565618
e_coli,2,mean_hydrophobicity,3,0.7525505864683714,0.6413810951010965,0.44962840510774854,0.7106702781220698,0.7873745655932946
e_coli,2,hydrophilic_fraction,0,0.9372104668846106,0.8916253641350069,0.030397381644332404,0.9249745234667809,0.946962542444371
e_coli,2,hydrophilic_fraction,1,0.8479905485693044,0.7395536023767093,0.04680090878006935,0.8180095857106356,0.872296259404305
e_coli,2,hydrophilic_fraction,2,0.8187281068646092,0.64922731054305,0.05536184733317667,0.79023747855992,0.8429568744583773
e_coli,2,hydrophilic_fraction,3,0.7114628205261082,0.5351728925134662,0.06458146867209762,0.6674743280763805,0.7492790250034794
e_coli,2,helix_propensity,0,0.9443657057588654,0.9061602517516214,0.035769577332247976,0.933430821072368,0.9529704167277755
e_coli,2,helix_propensity,1,0.7563674122439736,0.6374348152918308,0.07064986100132517,0.7142573902733786,0.792086193652082
e_coli,2,helix_propensity,2,0.7671034298019473,0.6345915492527425,0.06996880124016902,0.7299456876206882,0.801268567973044
e_coli,2,helix_propensity,3,0.6830352228532464,0.5072115951255962,0.08324087165919798,0.6347160169581524,0.7262567807564329
e_coli,2,hydrophobic_moment,0,0.8489229701822908,0.732400550286259,0.20450562456367571,0.8233454921985671,0.8725397668860281
e_coli,2,hydrophobic_moment,1,0.7401482703668769,0.5532295229475331,0.26765540802411053,0.7055820101648106,0.7773273383841394
e_coli,2,hydrophobic_moment,2,0.7082064242646332,0.46503133410931075,0.2899142897858868,0.6635590786736378,0.750539061084968
e_coli,2,hydrophobic_moment,3,0.6578097325936177,0.407881108572001,0.31252080196143406,0.6141534868346176,0.7018972628899937
e_coli,3,net_charge,0,0.9558597404962481,0.9288506586193236,0.4231039981563028,0.9470723723009952,0.9626792041381278
e_coli,3,net_charge,1,0.8501643145025898,0.7840251103471365,0.7392970870813291,0.824288967396525,0.8723863769666429
e_coli,3,net_charge,2,0.8035844127557922,0.705166856422428,0.8495170899843016,0.7696349257481163,0.8317987760795247
e_coli,3,net_charge,3,0.788612902598576,0.6694088249820835,0.9229045741024224,0.7595114168953759,0.817083413600943
e_coli,3,charge_density,0,0.9707360111428159,0.940485055451755,0.024141205385987553,0.9641424712207765,0.9750169035944597
e_coli,3,charge_density,1,0.8644888308305216,0.769562325717159,0.04913421907152749,0.8430235899949952,0.8840604977837737
e_coli,3,charge_density,2,0.8375718120564564,0.7236728769748972,0.05513879435272008,0.8103599085203086,0.8590076354679848
e_coli,3,charge_density,3,0.8334549535064808,0.7014411655276238,0.05607740253066192,0.8069376661377067,0.8578134807446267
e_coli,3,pI,0,0.861219674775346,0.7453744109748643,0.4927878243780899,0.8353857839023052,0.882580368009309
e_coli,3,pI,1,0.7940255657581129,0.5539024041605474,0.6190546152373065,0.7590829781915656,0.8226079512346173
e_coli,3,pI,2,0.7163254793481613,0.5078755169652514,0.6865637732037981,0.6739649621457985,0.7529346018854666
e_coli,3,pI,3,0.6811951951681163,0.39088201326124294,0.7529625409555224,0.6382732812371891,0.720781372857162
e_coli,3,mean_hydrophobicity,0,0.9662023786251973,0.944679922887718,0.17674957538796188,0.9595905434321903,0.9707181245838589
e_coli,3,mean_hydrophobicity,1,0.8971974278261844,0.8322510897242101,0.3094800365104512,0.8807449949249762,0.9105926644275824
e_coli,3,mean_hydrophobicity,2,0.8637359539354149,0.7899076198216839,0.3470782321714637,0.8367265906601552,0.8849968909717357
e_coli,3,mean_hydrophobicity,3,0.7397780553183255,0.6102307358717967,0.4710993363067547,0.699829944848419,0.7762371238967026
e_coli,3,hydrophilic_fraction,0,0.9580842881512406,0.9192087395009344,0.026262876525344616,0.9498756874857991,0.9645603372062753
e_coli,3,hydrophilic_fraction,1,0.8748048844526679,0.7657737917267893,0.045771706160016024,0.8568748502355044,0.8906154604712744
e_coli,3,hydrophilic_fraction,2,0.8226228029981535,0.71588535228062,0.04893642462437419,0.7910079282571932,0.8481776948982654
e_coli,3,hydrophilic_fraction,3,0.7367431396976499,0.5884531241682708,0.060249239326853776,0.693039981120425,0.7745579113092628
e_coli,3,helix_propensity,0,0.9475804631549166,0.9155037259386338,0.03364887104048714,0.9377964356353751,0.9548459194343278
e_coli,3,helix_propensity,1,0.7500859934749071,0.6321909062708658,0.07222975523737024,0.7120787574289743,0.7840744232666762
e_coli,3,helix_propensity,2,0.6793903020462836,0.529677382360787,0.08184069241214922,0.6363772810866756,0.7191091987893976
e_coli,3,helix_propensity,3,0.5614670480394739,0.35146955038767314,0.09851692309347614,0.5099959837286304,0.607571969900411
e_coli,3,hydrophobic_moment,0,0.8388523623642378,0.7166924837515111,0.20960109974241933,0.8129856201354996,0.8596229284231891
e_coli,3,hydrophobic_moment,1,0.7680996155223556,0.5682410647816278,0.25940923421575957,0.7341287068973325,0.7996805639963404
e_coli,3,hydrophobic_moment,2,0.6825852831069723,0.47111782755921516,0.2900719699616559,0.6343840230035279,0.7265184241445262
e_coli,3,hydrophobic_moment,3,0.5659327635897441,0.29738911111414124,0.32997962844860135,0.5101426274135296,0.6191734746962195
e_coli,4,net_charge,0,0.9484768267174273,0.9117851363803908,0.4591063422901481,0.9387794008252031,0.956136913272031
e_coli,4,net_charge,1,0.8770199642516915,0.7922175876531189,0.7130032200683759,0.8561447203682645,0.895743951069193
e_coli,4,net_charge,2,0.8296495756263286,0.700390696052707,0.8732170187346598,0.8020188341168203,0.8532248434039229
e_coli,4,net_charge,3,0.7841164723281427,0.6307696101981612,0.9213919602268285,0.7488554635305874,0.8162424065442327
e_coli,4,charge_density,0,0.9572174781531759,0.9250822840472155,0.02793953477653148,0.9478814494722292,0.9637941923082476
e_coli,4,charge_density,1,0.8917511310528523,0.7787286125131743,0.04722655134382961,0.8712661100971607,0.9092219048476239
e_coli,4,charge_density,2,0.8172163251714273,0.6592982750929177,0.06002620647627859,0.786319207308716,0.8441685557309571
e_coli,4,charge_density,3,0.7936070353105862,0.6785860158819468,0.058894411400901694,0.7573509724829552,0.8239780774000363
e_coli,4,pI,0,0.8883722789044459,0.7328368542603153,0.48900245613753346,0.8677693668138348,0.907109368550096
e_coli,4,pI,1,0.8231738072300637,0.5854538120199198,0.614810098623084,0.7926741062806724,0.8472725998709744
e_coli,4,pI,2,0.7182462265620072,0.46433509458553146,0.7015874153314889,0.673396947542303,0.7557525108904031
e_coli,4,pI,3,0.7059016575352639,0.41211074841719775,0.7200341459271513,0.6631251248832454,0.7455629712201646
e_coli,4,mean_hydrophobicity,0,0.9631561131713832,0.9451812989154244,0.17371498673140381,0.9554600782245957,0.9690447538129878
e_coli,4,mean_hydrophobicity,1,0.8475364597341566,0.7808969152210983,0.3419130722285246,0.8197649964849293,0.8716978691037838
e_coli,4,mean_hydrophobicity,2,0.8489930587415553,0.7522207100904469,0.3675715387216515,0.8202780459233409,0.8726028497638404
e_coli,4,mean_hydrophobicity,3,0.7431546300179263,0.5698452221538612,0.495598856131723,0.69947822965848,0.780867632396472
e_coli,4,hydrophilic_fraction,0,0.9339859842706457,0.882460774554804,0.03237014758810676,0.9233891223343208,0.942344475196772
e_coli,4,hydrophilic_fraction,1,0.8172996794702315,0.6893837345702963,0.051606552217325144,0.7873560466222618,0.8434246045621013
e_coli,4,hydrophilic_fraction,2,0.8246825075041523,0.6868935521487074,0.05201914135162042,0.7932714601854979,0.8508880079686848
e_coli,4,hydrophilic_fraction,3,0.7262113109315684,0.5366206430781664,0.06355516487055697,0.6846986728009237,0.7613197666654594
e_coli,4,helix_propensity,0,0.9352750165048204,0.8887682813410814,0.03903739043307812,0.9231381851919062,0.9447798132952325
e_coli,4,helix_propensity,1,0.7571849578271419,0.6368099488147612,0.0719116739568333,0.7203161073862654,0.7866587263190519
e_coli,4,helix_propensity,2,0.6968911793285225,0.5579934677631708,0.08021095972467891,0.6543611301943566,0.73619936392505
e_coli,4,helix_propensity,3,0.6438276523065595,0.48752848199006393,0.08673860009133538,0.5943422417839129,0.6867181398987087
e_coli,4,hydrophobic_moment,0,0.7507639525463334,0.56828375219416,0.2613164286995851,0.7050701187801367,0.7866462477383969
e_coli,4,hydrophobic_moment,1,0.6058336835193086,0.3701027931160936,0.3177773534909669,0.5519484390935246,0.6587078477582424
