species,seed,property,delta,ci_lo,ci_hi,significant
e_coli,0,net_charge,0.04587469776150899,0.031882927955722486,0.061579028501994766,True
e_coli,0,charge_density,0.0763581835798699,0.05917491398904677,0.0950369468984116,True
e_coli,0,pI,0.06990978357295341,0.03831858668439711,0.10505155439094468,True
e_coli,0,mean_hydrophobicity,0.10311941923685841,0.08251984431960172,0.1265869425713525,True
e_coli,0,hydrophilic_fraction,0.10754915367412332,0.08366884714361544,0.13582157510338838,True
e_coli,0,helix_propensity,0.15513608219521702,0.12350754130597692,0.1851267531884086,True
e_coli,0,hydrophobic_moment,0.07921557404170698,0.04531585116859517,0.118327740789605,True
e_coli,1,net_charge,0.05113822240030719,0.037013029256263645,0.06655336887893434,True
e_coli,1,charge_density,0.0594947434998393,0.04613312545665313,0.07611067296830916,True
e_coli,1,pI,0.13345365411932408,0.09967911332766918,0.16841297896142657,True
e_coli,1,mean_hydrophobicity,0.04945976627525284,0.03808873344236012,0.06183611792829968,True
e_coli,1,hydrophilic_fraction,0.050170181896374566,0.0365473664625051,0.06428654773811554,True
e_coli,1,helix_propensity,0.14636315147059908,0.11894781687496636,0.17527571199917763,True
e_coli,1,hydrophobic_moment,0.08632154431764893,0.060380485131742365,0.11321161441470064,True
e_coli,2,net_charge,0.03411204637426213,0.02127669373777585,0.04715927908075362,True
e_coli,2,charge_density,0.06035332066739574,0.04558143209429346,0.07599491643220953,True
e_coli,2,pI,0.02796045600976338,0.002605465282222247,0.05443434286700142,True
e_coli,2,mean_hydrophobicity,0.08185085316247831,0.06300585013640113,0.10399549430224583,True
e_coli,2,hydrophilic_fraction,0.08921991831530618,0.06579758909548081,0.11617415340309939,True
e_coli,2,helix_propensity,0.18799829351489172,0.15416331158692667,0.22467672992791354,True
e_coli,2,hydrophobic_moment,0.10877469981541388,0.07827556366059933,0.1395895063532247,True
e_coli,3,net_charge,0.10569542599365833,0.0856269246456532,0.12787388090823343,True
e_coli,3,charge_density,0.1062471803122943,0.08741298811989094,0.12529642353105852,True
e_coli,3,pI,0.0671941090172331,0.03828242270659556,0.09823657911889393,True
e_coli,3,mean_hydrophobicity,0.06900495079901292,0.05582108758864644,0.08418476887394757,True
e_coli,3,hydrophilic_fraction,0.08327940369857267,0.06737468461021057,0.09998595509699348,True
e_coli,3,helix_propensity,0.1974944696800095,0.16615940551472774,0.23106826317734955,True
e_coli,3,hydrophobic_moment,0.07075274684188215,0.03862636974190881,0.10143510826271691,True
e_coli,4,net_charge,0.0714568624657358,0.053431974695268857,0.08933321312306117,True
e_coli,4,charge_density,0.06546634710032362,0.04814842882875478,0.08360054563138389,True
e_coli,4,pI,0.0651984716743822,0.04027775139475308,0.09209035611328194,True
e_coli,4,mean_hydrophobicity,0.11561965343722658,0.09210323057525846,0.1413293388279086,True
e_coli,4,hydrophilic_fraction,0.1166863048004142,0.09197808874379464,0.14376188174303955,True
e_coli,4,helix_propensity,0.17809005867767846,0.1483080566753227,0.21081627065734604,True
e_coli,4,hydrophobic_moment,0.14493026902702488,0.0933874557561549,0.19518023165509593,True
e_coli,5,net_charge,0.07255573569509477,0.056496232938795174,0.08939624114763835,True
e_coli,5,charge_density,0.06124311714051689,0.04809894245224726,0.07494874537630551,True
e_coli,5,pI,0.14382727910918336,0.11339726330190557,0.17709348946806638,True
e_coli,5,mean_hydrophobicity,0.08839082819128974,0.07029643181487658,0.10901750872345492,True
e_coli,5,hydrophilic_fraction,0.10603389235044292,0.08410346638709802,0.13083416440443427,True
e_coli,5,helix_propensity,0.1345145625395664,0.1095528987754235,0.16098448597842713,True
e_coli,5,hydrophobic_moment,0.16983575952427987,0.1337154841287782,0.21025373873699785,True
e_coli,6,net_charge,0.10544166957760115,0.08552708346248454,0.12872296806539002,True
e_coli,6,charge_density,0.0978591432425131,0.07703114565872504,0.12038984291304747,True
e_coli,6,pI,0.09825293757922848,0.06842655435238187,0.1292956835945674,True
