species,property,coefficient,coefficient_label,n_seeds,spearman_mean,spearman_std,spearman_mean_pm_std,r2_mean,r2_std,r2_mean_pm_std,mae_mean,mae_std,mae_mean_pm_std,spearman_ci_lo_mean,spearman_ci_lo_std,spearman_ci_lo_mean_pm_std,spearman_ci_hi_mean,spearman_ci_hi_std,spearman_ci_hi_mean_pm_std,spearman_ci_range
e_coli,pI,2,B2,10,0.7416250659242176,0.0351400565914933,0.742 ± 0.035,0.5076527823953101,0.05288936373857109,0.508 ± 0.053,0.6683080944883075,0.03707168002321791,0.668 ± 0.037,0.7017407328080292,0.039381499172404494,0.702 ± 0.039,0.7774659342250254,0.031746405186313414,0.777 ± 0.032,"[0.702, 0.777]"
e_coli,pI,3,B3,10,0.7102117819216958,0.0336769851668663,0.710 ± 0.034,0.4320126415231983,0.042970891172699234,0.432 ± 0.043,0.7014112766826688,0.03271828600215236,0.701 ± 0.033,0.6669686594558981,0.037595672087627464,0.667 ± 0.038,0.7490905966059865,0.029066816416850105,0.749 ± 0.029,"[0.667, 0.749]"
e_coli,mean_hydrophobicity,0,B~0,10,0.966705753261528,0.004352910702090994,0.967 ± 0.004,0.94782100805919,0.0063043943558907444,0.948 ± 0.006,0.16908064159909766,0.009623020347806929,0.169 ± 0.010,0.9600215509072184,0.005233899623231906,0.960 ± 0.005,0.9717350785786335,0.003597600473403108,0.972 ± 0.004,"[0.960, 0.972]"
e_coli,mean_hydrophobicity,1,B1,10,0.8776356556717285,0.019537224914933843,0.878 ± 0.020,0.8101417553910796,0.02627980122502665,0.810 ± 0.026,0.32152661284138573,0.020839239325755723,0.322 ± 0.021,0.8551894364813089,0.02307027978780146,0.855 ± 0.023,0.8963076015210136,0.016377686915717886,0.896 ± 0.016,"[0.855, 0.896]"
e_coli,mean_hydrophobicity,2,B2,10,0.8537651724251193,0.01052791562029208,0.854 ± 0.011,0.7688404946911689,0.01732076341641574,0.769 ± 0.017,0.3553708366747793,0.013267508186297917,0.355 ± 0.013,0.8268841069018537,0.011761594309464964,0.827 ± 0.012,0.8756358793276455,0.009723820974169612,0.876 ± 0.010,"[0.827, 0.876]"
e_coli,mean_hydrophobicity,3,B3,10,0.7810228159961257,0.03587013210989158,0.781 ± 0.036,0.6478688351713993,0.0554475505205875,0.648 ± 0.055,0.44176378543972145,0.03935810952955968,0.442 ± 0.039,0.7453018072531805,0.041760463363347135,0.745 ± 0.042,0.8120638667991156,0.030463839068646616,0.812 ± 0.030,"[0.745, 0.812]"
e_coli,hydrophilic_fraction,0,B~0,10,0.9458646862066902,0.008434205310641454,0.946 ± 0.008,0.9051343972324499,0.014478086205806174,0.905 ± 0.014,0.028799133627703883,0.0022534051712926654,0.029 ± 0.002,0.9359567769303656,0.009814343191141744,0.936 ± 0.010,0.9537928744421309,0.007551713751593563,0.954 ± 0.008,"[0.936, 0.954]"
e_coli,hydrophilic_fraction,1,B1,10,0.853641691321001,0.02467436350437327,0.854 ± 0.025,0.7411280730105563,0.038375544516278365,0.741 ± 0.038,0.046892442323265573,0.0036842912671850034,0.047 ± 0.004,0.8286557230158549,0.02951386087888367,0.829 ± 0.030,0.874644209542045,0.021166921182687204,0.875 ± 0.021,"[0.829, 0.875]"
e_coli,hydrophilic_fraction,2,B2,10,0.8334008699557316,0.021465404094625464,0.833 ± 0.021,0.6996416890940994,0.03888115551448479,0.700 ± 0.039,0.05083851412854149,0.003575268361261817,0.051 ± 0.004,0.8055398971669453,0.02422330187031199,0.806 ± 0.024,0.8566301353274227,0.019598449949762876,0.857 ± 0.020,"[0.806, 0.857]"
e_coli,hydrophilic_fraction,3,B3,10,0.7486566638221426,0.03611096474137531,0.749 ± 0.036,0.5778833645240893,0.046540339182403426,0.578 ± 0.047,0.060838143564632005,0.0041408354476151965,0.061 ± 0.004,0.7095488759928616,0.03995080315203768,0.710 ± 0.040,0.7833528885781093,0.03155365903225189,0.783 ± 0.032,"[0.710, 0.783]"
e_coli,helix_propensity,0,B~0,10,0.9423374178001678,0.009306013832635731,0.942 ± 0.009,0.9065145094018542,0.012296612906685532,0.907 ± 0.012,0.03563121083810876,0.0024962271702105164,0.036 ± 0.002,0.9311382402653807,0.011547098841525986,0.931 ± 0.012,0.951065821732865,0.008126700999541941,0.951 ± 0.008,"[0.931, 0.951]"
e_coli,helix_propensity,1,B1,10,0.7785453970361307,0.02336070946336744,0.779 ± 0.023,0.6525782829783412,0.02929852321765663,0.653 ± 0.029,0.06968722772417366,0.003252897394875154,0.070 ± 0.003,0.7430440917275526,0.02671229286676061,0.743 ± 0.027,0.8092189537027397,0.02080686519899745,0.809 ± 0.021,"[0.743, 0.809]"
e_coli,helix_propensity,2,B2,10,0.7342149126446984,0.03646289329397869,0.734 ± 0.036,0.5871472487411578,0.04368036024124529,0.587 ± 0.044,0.0755847790950982,0.0048629435194155616,0.076 ± 0.005,0.693806265559756,0.039787207517863625,0.694 ± 0.040,0.7695051076574322,0.03284767965513055,0.770 ± 0.033,"[0.694, 0.770]"
e_coli,helix_propensity,3,B3,10,0.6581548463319398,0.0535908106665651,0.658 ± 0.054,0.48155714408544537,0.06398372960507565,0.482 ± 0.064,0.08537710434864894,0.006117118880365324,0.085 ± 0.006,0.6112569634349247,0.058054757724292486,0.611 ± 0.058,0.7009501454200665,0.048903698023243396,0.701 ± 0.049,"[0.611, 0.701]"
e_coli,hydrophobic_moment,0,B~0,10,0.8201171336231416,0.04804481240609519,0.820 ± 0.048,0.6948916771929807,0.0821386848837315,0.695 ± 0.082,0.21716592797783768,0.029535686766882507,0.217 ± 0.030,0.789866813196515,0.05565327107766115,0.790 ± 0.056,0.8455562896679748,0.04185418508735779,0.846 ± 0.042,"[0.790, 0.846]"
e_coli,hydrophobic_moment,1,B1,10,0.7232100031655997,0.05430541924852119,0.723 ± 0.054,0.5381697577353266,0.07279827115063645,0.538 ± 0.073,0.2725034777533798,0.02151640033921297,0.273 ± 0.022,0.6819694621318461,0.06066156694252652,0.682 ± 0.061,0.7609872737820581,0.04741952645777805,0.761 ± 0.047,"[0.682, 0.761]"
e_coli,hydrophobic_moment,2,B2,10,0.6775197881463794,0.05816328724476451,0.678 ± 0.058,0.46737225130238347,0.09020663590096768,0.467 ± 0.090,0.29202145087959075,0.0259289739609002,0.292 ± 0.026,0.6303255405159293,0.06504489397688586,0.630 ± 0.065,0.7200150315264643,0.05275655399107026,0.720 ± 0.053,"[0.630, 0.720]"
e_coli,hydrophobic_moment,3,B3,10,0.5908333447908259,0.06532830377287771,0.591 ± 0.065,0.34860795417841034,0.08820986613654194,0.349 ± 0.088,0.32330861947632383,0.022672507131105458,0.323 ± 0.023,0.5367684790488043,0.07089788463111908,0.537 ± 0.071,0.6417247505443627,0.05848664044944859,0.642 ± 0.058,"[0.537, 0.642]"
s_aureus,net_charge,0,B~0,10,0.93307492099334,0.007358717460290039,0.933 ± 0.007,0.8971124944177864,0.015808969750551655,0.897 ± 0.016,0.4784245007276461,0.030676495606777817,0.478 ± 0.031,0.9186444720327842,0.009673903172928587,0.919 ± 0.010,0.9442600130623175,0.00569607763439045,0.944 ± 0.006,"[0.919, 0.944]"
s_aureus,net_charge,1,B1,10,0.8386196098967235,0.022496882543583764,0.839 ± 0.022,0.7483168426961687,0.02731131928928338,0.748 ± 0.027,0.739022504598079,0.04095061766750035,0.739 ± 0.041,0.8082983948863308,0.025842264532785823,0.808 ± 0.026,0.8643872241337409,0.01907474220433181,0.864 ± 0.019,"[0.808, 0.864]"
s_aureus,net_charge,2,B2,10,0.8009489843307532,0.03960895811375258,0.801 ± 0.040,0.6837810867688445,0.05211367298190561,0.684 ± 0.052,0.8331182121014246,0.07678919145029676,0.833 ± 0.077,0.7656383191382982,0.04539338673733747,0.766 ± 0.045,0.8307739922037305,0.034417919068207126,0.831 ± 0.034,"[0.766, 0.831]"
s_aureus,net_charge,3,B3,10,0.727045910326286,0.033045896774858245,0.727 ± 0.033,0.5519187057448108,0.033402774603611636,0.552 ± 0.033,0.9940089941505832,0.0449902846886296,0.994 ± 0.045,0.6833768171772511,0.038779877499505726,0.683 ± 0.039,0.7671039615999335,0.027961924095277826,0.767 ± 0.028,"[0.683, 0.767]"
s_aureus,charge_density,0,B~0,10,0.9615559599834164,0.006817965384393563,0.962 ± 0.007,0.9215514963531574,0.014526097237219997,0.922 ± 0.015,0.02714064264545813,0.0024670115371496462,0.027 ± 0.002,0.9535545086766757,0.00803118476540842,0.954 ± 0.008,0.9674774095390332,0.005866039176725725,0.967 ± 0.006,"[0.954, 0.967]"
s_aureus,charge_density,1,B1,10,0.872705910936116,0.02174423651537907,0.873 ± 0.022,0.757660438972627,0.032851173304861585,0.758 ± 0.033,0.04808035915448544,0.003451295291232145,0.048 ± 0.003,0.8488604540819976,0.026326379691957464,0.849 ± 0.026,0.8929787820037264,0.01808300527584109,0.893 ± 0.018,"[0.849, 0.893]"
s_aureus,charge_density,2,B2,10,0.8448952874425795,0.031661674728924546,0.845 ± 0.032,0.6965572106951585,0.051448262626341265,0.697 ± 0.051,0.05429136682110939,0.004760260449598995,0.054 ± 0.005,0.8175566367312902,0.036238967379319705,0.818 ± 0.036,0.8683025943561831,0.02699983271783621,0.868 ± 0.027,"[0.818, 0.868]"
s_aureus,charge_density,3,B3,10,0.7773660692888593,0.020998953604282174,0.777 ± 0.021,0.5813691203311142,0.03520276653222465,0.581 ± 0.035,0.06343850233606493,0.0032906652161608344,0.063 ± 0.003,0.7410119960812309,0.023609610083367632,0.741 ± 0.024,0.8090948339798996,0.01947877787107053,0.809 ± 0.019,"[0.741, 0.809]"
s_aureus,pI,0,B~0,10,0.896539313301729,0.017246020718634257,0.897 ± 0.017,0.7363965531635728,0.03291685819188651,0.736 ± 0.033,0.4635217064985139,0.02552593321938561,0.464 ± 0.026,0.874748316201878,0.02119866194152204,0.875 ± 0.021,0.9133040179806173,0.013958155077908721,0.913 ± 0.014,"[0.875, 0.913]"
s_aureus,pI,1,B1,10,0.7803145657232742,0.03628960738369173,0.780 ± 0.036,0.5047233259529892,0.05547044290805417,0.505 ± 0.055,0.6390047832098531,0.03995958347601199,0.639 ± 0.040,0.7440009676226594,0.04146633429890339,0.744 ± 0.041,0.8116556426551618,0.031773196838770904,0.812 ± 0.032,"[0.744, 0.812]"
s_aureus,pI,2,B2,10,0.7246590144170266,0.03589629338323565,0.725 ± 0.036,0.43129852966649784,0.059569531577479885,0.431 ± 0.060,0.6940907125247743,0.043998039527418244,0.694 ± 0.044,0.6794865727952615,0.04067417751066575,0.679 ± 0.041,0.7630705100735635,0.030181532011125483,0.763 ± 0.030,"[0.679, 0.763]"
s_aureus,pI,3,B3,10,0.6954800521112605,0.030498719047779316,0.695 ± 0.030,0.38893011496121926,0.05608086634897699,0.389 ± 0.056,0.7065884357662651,0.05084771465337647,0.707 ± 0.051,0.6499748313396136,0.03280809735091028,0.650 ± 0.033,0.7363326281848127,0.028631311636290728,0.736 ± 0.029,"[0.650, 0.736]"
s_aureus,mean_hydrophobicity,0,B~0,10,0.9570085120778462,0.007245591351124137,0.957 ± 0.007,0.932826707408158,0.009961298033483496,0.933 ± 0.010,0.17989129610297497,0.012219382331360721,0.180 ± 0.012,0.9469453970840105,0.008976371247175145,0.947 ± 0.009,0.9645679134411826,0.005828581229444041,0.965 ± 0.006,"[0.947, 0.965]"
s_aureus,mean_hydrophobicity,1,B1,10,0.8528432150833364,0.023179210033575957,0.853 ± 0.023,0.7586248906238445,0.03762867657620757,0.759 ± 0.038,0.3398123945120129,0.026075999920236043,0.340 ± 0.026,0.8236072646111825,0.027609421552940116,0.824 ± 0.028,0.8765545705272944,0.01969345967060843,0.877 ± 0.020,"[0.824, 0.877]"
s_aureus,mean_hydrophobicity,2,B2,10,0.8353649196466442,0.03126411556090218,0.835 ± 0.031,0.7233663550175147,0.04415540302763311,0.723 ± 0.044,0.363081140697793,0.030270607701121603,0.363 ± 0.030,0.8046087253416557,0.035923954823168486,0.805 ± 0.036,0.8617315321180996,0.027547658967857526,0.862 ± 0.028,"[0.805, 0.862]"
s_aureus,mean_hydrophobicity,3,B3,10,0.7460446741485826,0.0391917710023893,0.746 ± 0.039,0.5759322934723702,0.05812192716617699,0.576 ± 0.058,0.4501719390979658,0.031162661409059628,0.450 ± 0.031,0.7035988467530386,0.0446431853578244,0.704 ± 0.045,0.7832647623777612,0.035106112663980046,0.783 ± 0.035,"[0.704, 0.783]"
s_aureus,hydrophilic_fraction,0,B~0,10,0.944954424091262,0.01012604499245711,0.945 ± 0.010,0.9037285966316639,0.015332985889625547,0.904 ± 0.015,0.02799552656545883,0.002327255063171919,0.028 ± 0.002,0.9333933095675431,0.012675951308999489,0.933 ± 0.013,0.9537451242921089,0.008440580706919786,0.954 ± 0.008,"[0.933, 0.954]"
