species,seed,property,dc_spearman,best_non_dc_spearman,dc_preference,dc_ci_excludes_zero,dc_beats_non_dc
e_coli,0,charge_density,0.9572956652106805,0.8809374816308106,0.0763581835798699,True,True
e_coli,0,helix_propensity,0.9186350584284964,0.7634989762332793,0.15513608219521702,True,True
e_coli,0,hydrophilic_fraction,0.9407594936236815,0.8332103399495582,0.10754915367412332,True,True
e_coli,0,hydrophobic_moment,0.7904980711351292,0.7112824970934222,0.07921557404170698,True,True
e_coli,0,mean_hydrophobicity,0.9639644918493759,0.8608450726125175,0.10311941923685841,True,True
e_coli,0,net_charge,0.9331545125428854,0.8872798147813764,0.04587469776150899,True,True
e_coli,0,pI,0.8330017173129067,0.7630919337399533,0.06990978357295341,True,True
e_coli,1,charge_density,0.9626716592381978,0.9031769157383585,0.0594947434998393,True,True
e_coli,1,helix_propensity,0.9431241427497419,0.7967609912791428,0.14636315147059908,True,True
e_coli,1,hydrophilic_fraction,0.9420507826567915,0.891880600760417,0.050170181896374566,True,True
e_coli,1,hydrophobic_moment,0.8685720904051437,0.7822505460874948,0.08632154431764893,True,True
e_coli,1,mean_hydrophobicity,0.9628294308506485,0.9133696645753957,0.04945976627525284,True,True
e_coli,1,net_charge,0.9464485714030032,0.895310349002696,0.05113822240030719,True,True
e_coli,1,pI,0.8550083035585962,0.7215546494392722,0.13345365411932408,True,True
e_coli,2,charge_density,0.9704598859155907,0.910106565248195,0.06035332066739574,True,True
e_coli,2,helix_propensity,0.9443657057588654,0.7671034298019473,0.17726227595691801,True,True
e_coli,2,hydrophilic_fraction,0.9372104668846106,0.8479905485693044,0.08921991831530618,True,True
e_coli,2,hydrophobic_moment,0.8489229701822908,0.7401482703668769,0.10877469981541388,True,True
e_coli,2,mean_hydrophobicity,0.9626230477123708,0.8807721945498925,0.08185085316247831,True,True
e_coli,2,net_charge,0.9451126702414895,0.9110006238672274,0.03411204637426213,True,True
e_coli,2,pI,0.8635270463339128,0.8355665903241494,0.02796045600976338,True,True
e_coli,3,charge_density,0.9707360111428159,0.8644888308305216,0.1062471803122943,True,True
e_coli,3,helix_propensity,0.9475804631549166,0.7500859934749071,0.1974944696800095,True,True
e_coli,3,hydrophilic_fraction,0.9580842881512406,0.8748048844526679,0.08327940369857267,True,True
e_coli,3,hydrophobic_moment,0.8388523623642378,0.7680996155223556,0.07075274684188215,True,True
e_coli,3,mean_hydrophobicity,0.9662023786251973,0.8971974278261844,0.06900495079901292,True,True
e_coli,3,net_charge,0.9558597404962481,0.8501643145025898,0.10569542599365833,True,True
e_coli,3,pI,0.861219674775346,0.7940255657581129,0.0671941090172331,True,True
e_coli,4,charge_density,0.9572174781531759,0.8917511310528523,0.06546634710032362,True,True
e_coli,4,helix_propensity,0.9352750165048204,0.7571849578271419,0.17809005867767846,True,True
e_coli,4,hydrophilic_fraction,0.9339859842706457,0.8246825075041523,0.10930347676649343,True,True
e_coli,4,hydrophobic_moment,0.7507639525463334,0.6058336835193086,0.14493026902702488,True,True
e_coli,4,mean_hydrophobicity,0.9631561131713832,0.8489930587415553,0.11416305442982788,True,True
e_coli,4,net_charge,0.9484768267174273,0.8770199642516915,0.0714568624657358,True,True
e_coli,4,pI,0.8883722789044459,0.8231738072300637,0.0651984716743822,True,True
e_coli,5,charge_density,0.9740021204838917,0.9127590033433748,0.06124311714051689,True,True
e_coli,5,helix_propensity,0.9509404472135579,0.8164258846739915,0.1345145625395664,True,True
e_coli,5,hydrophilic_fraction,0.9500700348881217,0.8440361425376788,0.10603389235044292,True,True
e_coli,5,hydrophobic_moment,0.8732667691000362,0.7034310095757563,0.16983575952427987,True,True
e_coli,5,mean_hydrophobicity,0.9722009425664335,0.8838101143751438,0.08839082819128974,True,True
e_coli,5,net_charge,0.9607641823109073,0.8882084466158126,0.07255573569509477,True,True
e_coli,5,pI,0.9004024424532198,0.7565751633440364,0.14382727910918336,True,True
e_coli,6,charge_density,0.9619061107897123,0.8640469675471992,0.0978591432425131,True,True
e_coli,6,helix_propensity,0.9436416828142447,0.7873911595336776,0.1562505232805671,True,True
e_coli,6,hydrophilic_fraction,0.9501846964071349,0.8402730488709753,0.10991164753615956,True,True
e_coli,6,hydrophobic_moment,0.8546063178404187,0.7355495385270862,0.11905677931333258,True,True
e_coli,6,mean_hydrophobicity,0.970382650308719,0.8699812968179288,0.10040135349079016,True,True
e_coli,6,net_charge,0.9418559042955144,0.8364142347179132,0.10544166957760115,True,True
e_coli,6,pI,0.8756112854486067,0.7773583478693782,0.09825293757922848,True,True
e_coli,7,charge_density,0.9732586494696319,0.9003847772651662,0.07287387220446573,True,True
e_coli,7,helix_propensity,0.9448234520540671,0.80089183364969,0.14393161840437718,True,True
e_coli,7,hydrophilic_fraction,0.9453608772300519,0.8816808160102164,0.0636800612198355,True,True
