property_bucket,band,mse_diff_abs_mean,mse_diff_abs_std,n_samples
bottom_30,0,1.0520742694394611,1.1430001881358316,190
bottom_30,1,0.3048597423492464,0.3862233584572124,190
bottom_30,2,0.3044238095227756,0.37917276383081916,190
bottom_30,3,0.3041441084426146,0.3764998866748646,190
bottom_30,4,0.30096910197196525,0.37987276699757627,190
bottom_30,5,0.30910836745846554,0.3798166390180803,190
bottom_30,6,0.3015644849567251,0.36504248559409425,190
bottom_30,7,0.343821304334979,0.5544539724751275,190
middle_40,0,1.0831695654850473,0.9729189326388723,255
middle_40,1,0.2691171963702656,0.21843328671527848,255
middle_40,2,0.2682466185130628,0.24745882555096518,255
middle_40,3,0.27475529415100447,0.23827461678021483,255
middle_40,4,0.273816038166524,0.2430708859875376,255
middle_40,5,0.26669233616336185,0.2403901324039579,255
middle_40,6,0.27150355019702427,0.24143323384198712,255
middle_40,7,0.33750915218669597,0.33291159121578684,255
top_30,0,1.057168081777072,0.9897589651327422,190
top_30,1,0.2672351721381727,0.27000287960922315,190
top_30,2,0.2811096002713417,0.28392285609570445,190
top_30,3,0.28324947839863124,0.3008050312476308,190
top_30,4,0.28382947674754755,0.3190004976215284,190
top_30,5,0.2794856400128087,0.2901365219987666,190
top_30,6,0.2833179223018079,0.29616378320447273,190
top_30,7,0.30846108176499387,0.31721533251905965,190
