property_bucket,band,mse_diff_abs_mean,mse_diff_abs_std,n_samples
bottom_30,0,1.1938669437570568,1.1531425255946084,190
bottom_30,1,0.2980762575675169,0.33949717049105405,190
bottom_30,2,0.29497409210466147,0.3529778930291569,190
bottom_30,3,0.2953403650058867,0.3428222081792284,190
bottom_30,4,0.2985839346452164,0.35364631166893756,190
bottom_30,5,0.30164070973743345,0.34364686050538296,190
bottom_30,6,0.30271096654365365,0.3502771881456261,190
bottom_30,7,0.35145167693434826,0.43223291854181706,190
middle_40,0,0.8879321758376859,0.8927569712003424,255
middle_40,1,0.25684044146532686,0.2681847238128069,255
middle_40,2,0.2674934661519628,0.27813863231062974,255
middle_40,3,0.27545886815048115,0.29148883023215183,255
middle_40,4,0.2738799295269044,0.30147361973904685,255
middle_40,5,0.2725855309050904,0.29017396747955865,255
middle_40,6,0.2572970642359414,0.2571819299146612,255
middle_40,7,0.288836532596413,0.37623156914093564,255
top_30,0,1.1774045356704086,1.0422584364628358,190
top_30,1,0.29049535429232,0.27213522884709834,190
top_30,2,0.291570127437248,0.27988589943453546,190
top_30,3,0.2911089514676405,0.27761090450158343,190
top_30,4,0.2861288951432595,0.27987749953592034,190
top_30,5,0.2790440100541525,0.2745801897195512,190
top_30,6,0.30123804029422746,0.2943303073021264,190
top_30,7,0.36615448808942536,0.42024516450791394,190
