species,property_bucket,band,signed_mse_diff,abs_mse_diff,n,property
s_aureus,bottom_30,0,0.9155219503427083,1.0147351798223565,190,net_charge
s_aureus,bottom_30,1,0.03371833630890155,0.30905426702219874,190,net_charge
s_aureus,middle_40,0,0.9845649021578284,1.0707751723747698,255,net_charge
s_aureus,middle_40,1,-0.04181073697104376,0.23193273133734277,255,net_charge
s_aureus,top_30,0,1.0369607283499147,1.111141751621128,190,net_charge
s_aureus,top_30,1,0.0758119847217841,0.3129461136936168,190,net_charge
s_aureus,bottom_30,0,1.1179112223012428,1.1938669437570568,190,mean_hydrophobicity
s_aureus,bottom_30,1,0.058425951581188844,0.2980762575675169,190,mean_hydrophobicity
s_aureus,middle_40,0,0.7877480495933004,0.887932175837686,255,mean_hydrophobicity
s_aureus,middle_40,1,-0.03910970865791073,0.25684044146532686,255,mean_hydrophobicity
s_aureus,top_30,0,1.0987203900964049,1.1774045356704086,190,mean_hydrophobicity
s_aureus,top_30,1,0.04747930513450248,0.29049535429232,190,mean_hydrophobicity
s_aureus,bottom_30,0,0.9564673280343774,1.0520742694394611,190,hydrophobic_moment
s_aureus,bottom_30,1,0.007628046719866453,0.30485974234924634,190,hydrophobic_moment
s_aureus,middle_40,0,1.0052229145462506,1.0831695654850473,255,hydrophobic_moment
s_aureus,middle_40,1,-0.002160876040895217,0.2691171963702656,255,hydrophobic_moment
s_aureus,top_30,0,0.9682901235053634,1.0571680817770719,190,hydrophobic_moment
s_aureus,top_30,1,0.04868798727298825,0.26723517213817266,190,hydrophobic_moment
