,accuracy
GP-pred,0.03345070422535211
SVM-pred,0.02992957746478873
GB-pred,0.028169014084507043
L2-pred,0.02640845070422535
XGBoost-pred,0.02640845070422535
RF-pred,0.02464788732394366
esm2_t6-pred,0.022887323943661973
LR-pred,0.022887323943661973
ElasticNet-pred,0.007042253521126761
L1-pred,0.00528169014084507
