,accuracy
LR-pred,0.07127659574468086
XGBoost-pred,0.07127659574468086
GP-pred,0.07127659574468086
GB-pred,0.06595744680851064
L2-pred,0.06382978723404255
SVM-pred,0.0574468085106383
RF-pred,0.052127659574468084
esm2_t6-pred,0.036170212765957444
L1-pred,0.0
ElasticNet-pred,0.0
