species,property_bucket,band,signed_mse_diff,abs_mse_diff,n,property
e_coli,bottom_30,0,0.5460769623712366,0.7181108167994625,206,net_charge
e_coli,bottom_30,1,0.04475499088692563,0.3736346817699227,206,net_charge
e_coli,middle_40,0,0.8760608790037306,0.9978739068415543,275,net_charge
e_coli,middle_40,1,-0.02287899683710704,0.27060785304520135,275,net_charge
e_coli,top_30,0,1.4971379880006572,1.575814571037674,206,net_charge
e_coli,top_30,1,0.06830894828300688,0.33098410629641783,206,net_charge
e_coli,bottom_30,0,1.0910278561246007,1.2053747315378835,206,mean_hydrophobicity
e_coli,bottom_30,1,0.04847333751334099,0.3222033716196604,206,mean_hydrophobicity
e_coli,middle_40,0,1.1481013387751522,1.2460527625679831,275,mean_hydrophobicity
e_coli,middle_40,1,0.026930503504580088,0.3066525872222762,275,mean_hydrophobicity
e_coli,top_30,0,0.5890262863000072,0.7572439314217388,206,mean_hydrophobicity
e_coli,top_30,1,-0.0019026633626510173,0.33429744606466283,206,mean_hydrophobicity
e_coli,bottom_30,0,0.9795815912188879,1.1092416846140194,206,hydrophobic_moment
e_coli,bottom_30,1,0.04709093245750145,0.32440167231865846,206,hydrophobic_moment
e_coli,middle_40,0,0.9111983476178686,1.0406328569442154,275,hydrophobic_moment
e_coli,middle_40,1,0.0037159099007547853,0.3060520485605697,275,hydrophobic_moment
e_coli,top_30,0,1.016726544255492,1.1276025805132541,206,hydrophobic_moment
e_coli,top_30,1,0.03047009723227571,0.33290083532668063,206,hydrophobic_moment
