property_bucket,band,mse_diff_abs_mean,mse_diff_abs_std,n_samples
bottom_30,0,0.7181108167994626,0.9097492803321241,206
bottom_30,1,0.37363468176992265,0.406192762633583,206
bottom_30,2,0.3631564400774238,0.397611294789377,206
bottom_30,3,0.36578807451970846,0.39959280122158847,206
bottom_30,4,0.3542196980000108,0.3610599933562073,206
bottom_30,5,0.36834363288499533,0.3910288164718518,206
bottom_30,6,0.37086205254339666,0.4448762501363533,206
bottom_30,7,0.4990557682409385,0.7161250010475707,206
middle_40,0,0.9978739068415542,0.9198289640788042,275
middle_40,1,0.27060785304520135,0.22941994796987966,275
middle_40,2,0.26465269839349875,0.23009447487598997,275
middle_40,3,0.2713401928237182,0.23705520536248728,275
middle_40,4,0.2640284038285745,0.22648331027238827,275
middle_40,5,0.26866790746131614,0.23852216468302498,275
middle_40,6,0.2750065725916958,0.2231888074703499,275
middle_40,7,0.35994493909675607,0.38583525025013005,275
top_30,0,1.575814571037674,1.3290512312888858,206
top_30,1,0.33098410629641783,0.3630825677476601,206
top_30,2,0.3235279115649712,0.33374160177654644,206
top_30,3,0.3098402457560535,0.3146597610708796,206
top_30,4,0.3147271883011481,0.31602897791390183,206
top_30,5,0.3173862104259066,0.30732399439772556,206
top_30,6,0.31166346052528815,0.32038420382813015,206
top_30,7,0.5297579602127008,0.5784255164066816,206
