property,effect_e_coli,CI_e_coli_lo,CI_e_coli_hi,effect_s_aureus,CI_s_aureus_lo,CI_s_aureus_hi,interaction_p
net_charge,0.34396496818202,0.30656217975144645,0.38136775661259353,0.2567327287773742,0.21311985529812583,0.30034560225662255,0.0015706926061403686
mean_hydrophobicity,0.06909027663159634,0.03615454365938983,0.10202600960380284,0.13226376951905333,0.09448568273767075,0.17004185630043592,0.009313351557442685
hydrophobic_moment,0.009338839788876016,-0.016889969095404342,0.03556764867315637,-0.0036131812137422097,-0.03261770879293708,0.025391346365452663,0.5173670291531105
helix_propensity,-0.05928258894390069,-0.08755020321170096,-0.03101497467610043,-0.07870118316967747,-0.11053724668412793,-0.046865119655227015,0.3572374468192505
